Combined Feature,Weight,Class,Feature,l1,l2,dist,dist_pix,a,angl
entropy_test_dist_2_angl_1,0.053718416569794,Class 0,entropy,test,dist,2,20,angl,1
mean_test_dist_2_angl_4,0.055100253010423,Class 0,mean,test,dist,2,20,angl,4
homogeneity_test_dist_2_angl_4,0.059577302167547,Class 0,homogeneity,test,dist,2,20,angl,4
ASM_test_dist_2_angl_2,0.06998199298491,Class 0,ASM,test,dist,2,20,angl,2
ASM_test_dist_2_angl_3,0.077414637755777,Class 0,ASM,test,dist,2,20,angl,3
entropy_test_dist_2_angl_2,0.096641426824358,Class 0,entropy,test,dist,2,20,angl,2
variance_test_dist_2_angl_3,0.134458924454355,Class 0,variance,test,dist,2,20,angl,3
ASM_test_dist_2_angl_4,0.144983327052221,Class 0,ASM,test,dist,2,20,angl,4
homogeneity_test_dist_2_angl_2,0.148290627317928,Class 0,homogeneity,test,dist,2,20,angl,2
entropy_test_dist_2_angl_4,0.211289224796442,Class 0,entropy,test,dist,2,20,angl,4
homogeneity_test_dist_2_angl_1,0.419654023169015,Class 0,homogeneity,test,dist,2,20,angl,1
mean_test_dist_2_angl_1,0.434078258021088,Class 0,mean,test,dist,2,20,angl,1
contrast_test_dist_2_angl_1,0.559438449937319,Class 0,contrast,test,dist,2,20,angl,1
dissimilarity_test_dist_2_angl_3,0.64811750315942,Class 0,dissimilarity,test,dist,2,20,angl,3
contrast_test_dist_3_angl_3,-0.414753806453088,Class 0,contrast,test,dist,3,10,angl,3
ASM_test_dist_3_angl_2,-0.224670591519071,Class 0,ASM,test,dist,3,10,angl,2
ASM_test_dist_3_angl_1,-0.196304846538512,Class 0,ASM,test,dist,3,10,angl,1
entropy_test_dist_3_angl_3,-0.189382295782361,Class 0,entropy,test,dist,3,10,angl,3
entropy_test_dist_3_angl_1,-0.119639037445491,Class 0,entropy,test,dist,3,10,angl,1
homogeneity_test_dist_3_angl_1,-0.10887319195667,Class 0,homogeneity,test,dist,3,10,angl,1
entropy_test_dist_3_angl_2,-0.105035625950239,Class 0,entropy,test,dist,3,10,angl,2
variance_test_dist_3_angl_2,-0.096544632477513,Class 0,variance,test,dist,3,10,angl,2
contrast_test_dist_3_angl_2,-0.081673035058531,Class 0,contrast,test,dist,3,10,angl,2
std_test_dist_3_angl_3,-0.080870615067171,Class 0,std,test,dist,3,10,angl,3
dissimilarity_test_dist_3_angl_3,-0.072951432794063,Class 0,dissimilarity,test,dist,3,10,angl,3
contrast_test_dist_3_angl_1,-0.058425170613004,Class 0,contrast,test,dist,3,10,angl,1
correlation_test_dist_3_angl_1,-0.048567843727466,Class 0,correlation,test,dist,3,10,angl,1
correlation_test_dist_3_angl_4,-0.046846161677699,Class 0,correlation,test,dist,3,10,angl,4
homogeneity_test_dist_3_angl_4,-0.04179828094983,Class 0,homogeneity,test,dist,3,10,angl,4
variance_test_dist_3_angl_1,-0.040748528202343,Class 0,variance,test,dist,3,10,angl,1
energy_test_dist_3_angl_2,-0.035453153083303,Class 0,energy,test,dist,3,10,angl,2
correlation_test_dist_3_angl_2,-0.031918152108453,Class 0,correlation,test,dist,3,10,angl,2
contrast_test_dist_3_angl_4,-0.018528368363905,Class 0,contrast,test,dist,3,10,angl,4
std_test_dist_3_angl_1,-0.002211172553324,Class 0,std,test,dist,3,10,angl,1
variance_test_dist_3_angl_3,0.014562940882972,Class 0,variance,test,dist,3,10,angl,3
homogeneity_test_dist_3_angl_2,0.014855105468227,Class 0,homogeneity,test,dist,3,10,angl,2
std_test_dist_3_angl_4,0.033118998584079,Class 0,std,test,dist,3,10,angl,4
variance_test_dist_3_angl_4,0.035014246357554,Class 0,variance,test,dist,3,10,angl,4
dissimilarity_test_dist_3_angl_4,0.039687555398714,Class 0,dissimilarity,test,dist,3,10,angl,4
energy_test_dist_3_angl_3,0.044595244744757,Class 0,energy,test,dist,3,10,angl,3
mean_test_dist_3_angl_1,0.044951816121081,Class 0,mean,test,dist,3,10,angl,1
homogeneity_test_dist_3_angl_3,0.057748738623396,Class 0,homogeneity,test,dist,3,10,angl,3
mean_test_dist_3_angl_3,0.057824888095175,Class 0,mean,test,dist,3,10,angl,3
ASM_test_dist_3_angl_4,0.060257500343607,Class 0,ASM,test,dist,3,10,angl,4
