name,d,a,Dist_pix,Angle_rad,ROC_precise,ROC,bias,ASM,contrast,correlation,dissimilarity,energy,entropy,homogeneity,mean,std,variance
n_t_d_3_a_4_SVM_C_1_k_linear,[10],[-0.78539816],10,-0.78539816,0.709148598625066,0.71,-0.04822733999323,-0.013642914125633,0.26287710766778,0.767489011386477,0.937080431188079,-0.368179846088009,-0.227350144894493,0.07264655095389,-1.81106443139614,1.76816305691375,-1.00711866437557
n_t_d_15_a_4_SVM_C_1_k_linear,[13],[-0.78539816],13,-0.78539816,0.709413008989952,0.71,-0.010958402663801,-0.040481088385026,0.125898158172937,0.445094884521683,0.934368593394536,-0.441805641455283,-0.408051775542284,0.045378751565276,-1.6669365655974,1.88675268489565,-0.911250802873953
n_t_d_2_a_4_SVM_C_1_k_linear,[20],[-0.78539816],20,-0.78539816,0.711263881544157,0.71,-0.009130125599708,0.010168828371663,-0.388168861087302,0.23812079722511,1.26444789565971,-0.321072866769194,-0.447806973509037,0.003483285155682,-1.42324076183773,1.94485920989946,-0.818588251112342
n_t_d_16_a_4_SVM_C_1_k_linear,[14],[-0.78539816],14,-0.78539816,0.712321523003702,0.71,-0.008817188681345,-0.062367193196859,-0.03960384370126,0.367120182237786,1.01174553276906,-0.423951983106765,-0.507011133102002,-0.002618220591777,-1.59664290542912,1.90069994880224,-0.840705108653382
n_t_d_8_a_4_SVM_C_1_k_linear,[15],[-0.78539816],15,-0.78539816,0.712850343733474,0.71,-0.021398800628843,-0.005256362139085,-0.147602532636464,0.325545350707033,1.08990767421945,-0.418409154390839,-0.535036870797988,-0.039808082818872,-1.53314478620385,1.90683120747951,-0.82189774894141
n_t_d_13_a_4_SVM_C_1_k_linear,[11],[-0.78539816],11,-0.78539816,0.713114754098361,0.71,-0.011866062978876,-0.026445300030659,0.076497428630368,0.48039211521972,0.948596015607286,-0.394619394956164,-0.354091402901779,0.064756367965278,-1.6638351933241,1.91134245590752,-0.926908646281416
n_t_d_11_a_4_SVM_C_1_k_linear,[8],[-0.78539816],8,-0.78539816,0.713379164463247,0.71,-0.066561412405385,-0.040870196557631,0.170644848159433,0.866624725675462,1.01204358864793,-0.232144674935863,-0.160625402567099,0.052127675435163,-1.82507184712889,1.71899700759353,-0.994741853605253
n_t_d_12_a_4_SVM_C_1_k_linear,[9],[-0.78539816],9,-0.78539816,0.713379164463247,0.71,-0.066561412405385,-0.040870196557631,0.170644848159433,0.866624725675462,1.01204358864793,-0.232144674935863,-0.160625402567099,0.052127675435163,-1.82507184712889,1.71899700759353,-0.994741853605253
n_t_d_14_a_4_SVM_C_1_k_linear,[12],[-0.78539816],12,-0.78539816,0.713643574828133,0.71,-0.011866062978876,-0.026445300030659,0.076497428630368,0.48039211521972,0.948596015607286,-0.394619394956164,-0.354091402901779,0.064756367965278,-1.6638351933241,1.91134245590752,-0.926908646281416
n_t_d_1_a_4_SVM_C_1_k_linear,[1],[-0.78539816],1,-0.78539816,0.717609730301428,0.72,-0.099779076763712,-0.163596866445851,0.65268955857507,1.20251931718388,0.481616344100015,-0.148974612486298,-0.046396684535253,-0.045070250403817,-2.07062205342993,1.76167756942402,-1.00892179260212
n_t_d_5_a_4_SVM_C_1_k_linear,[2],[-0.78539816],2,-0.78539816,0.717609730301428,0.72,-0.099779076763712,-0.163596866445851,0.65268955857507,1.20251931718388,0.481616344100015,-0.148974612486298,-0.046396684535253,-0.045070250403817,-2.07062205342993,1.76167756942402,-1.00892179260212
n_t_d_13_a_1_SVM_C_1_k_linear,[11],[0],11,0,0.7181385510312,0.72,-0.012970166745799,-0.051702249349864,-0.876471242578267,0.250416252001583,1.4310359056992,-0.209267187167238,-0.617581255230914,-0.131890517986812,-1.42420997726524,2.10700822344153,-0.588025588798987
n_t_d_10_a_4_SVM_C_1_k_linear,[7],[-0.78539816],7,-0.78539816,0.719196192490746,0.72,-0.071649976021263,0.010903665214662,0.370156170386041,1.05182240759734,0.93619355175808,-0.227196086192349,-0.055516201572474,0.021882187189868,-1.93751079946879,1.59955302168461,-1.03660743125775
n_t_d_7_a_4_SVM_C_1_k_linear,[3],[-0.78539816],3,-0.78539816,0.721840296139609,0.72,-0.090608894946631,-0.06907460318588,0.600128545640941,1.22505760371779,0.611332818663283,-0.122097806640747,-0.066633203493251,-0.188508702735015,-2.10953322733877,1.71637685616061,-1.03979738716489
n_t_d_3_a_1_SVM_C_1_k_linear,[10],[0],10,0,0.722369116869381,0.72,-0.006827906018287,0.034089046829481,-0.786270906000246,0.309308690402999,1.38537402130524,-0.198216414436915,-0.49637049583929,-0.150422924649348,-1.4991756267934,2.08965199508339,-0.608918807673003
n_t_d_9_a_1_SVM_C_1_k_linear,[6],[0],6,0,0.722369116869381,0.72,-0.115720432915823,0.268175518832165,-0.627670312863252,0.87082317719504,1.51601360346103,-0.025825077834888,-0.047900589198331,-0.265869682144785,-2.07596095826879,1.96383348188546,-0.649367408736858
n_t_d_12_a_1_SVM_C_1_k_linear,[9],[0],9,0,0.723691168693813,0.72,-0.018639159223968,0.07154107485419,-0.735705370538194,0.376648536044933,1.38161257528471,-0.203754114321675,-0.475300107113644,-0.203227500648697,-1.61682443971762,2.13888390087885,-0.661588359023821
n_t_d_6_a_4_SVM_C_1_k_linear,[4],[-0.78539816],4,-0.78539816,0.725542041248017,0.73,-0.106869936447644,-0.061309350249082,0.556860477486556,1.22270697292022,0.724027392925711,-0.192542086065691,0.018659353875159,0.0118032888149,-2.05370907032002,1.59536504302081,-1.01464298250039
n_t_d_13_a_3_SVM_C_1_k_linear,[11],[0.78539816],11,0.78539816,0.726070861977789,0.73,-0.060008483396256,0.07973808597562,-0.57407580737976,0.5380472620342,1.04652010943364,-0.317091101486375,-0.010947140955727,0.255533026253018,-1.63823814475112,2.26627755567397,-0.795664080737845
n_t_d_14_a_3_SVM_C_1_k_linear,[12],[0.78539816],12,0.78539816,0.726070861977789,0.73,-0.060008483396256,0.07973808597562,-0.57407580737976,0.5380472620342,1.04652010943364,-0.317091101486375,-0.010947140955727,0.255533026253018,-1.63823814475112,2.26627755567397,-0.795664080737845
