Combined Feature,Weight,Class
ASM_test_dist_15_angl_4,0.10014887533459516,Class 0,ASM,test,dist,15,angl,4
ASM_test_dist_16_angl_1,0.033169403346011705,Class 0,ASM,test,dist,16,angl,1
ASM_test_dist_16_angl_2,-0.35815032477449815,Class 0,ASM,test,dist,16,angl,2
ASM_test_dist_16_angl_3,0.10420384725539833,Class 0,ASM,test,dist,16,angl,3
ASM_test_dist_16_angl_4,-0.24423735914166178,Class 0,ASM,test,dist,16,angl,4
contrast_test_dist_3_angl_1,-0.05842517061300345,Class 0,contrast,test,dist,3,angl,1
contrast_test_dist_3_angl_2,-0.08167303505853063,Class 0,contrast,test,dist,3,angl,2
contrast_test_dist_3_angl_3,-0.41475380645308757,Class 0,contrast,test,dist,3,angl,3
contrast_test_dist_3_angl_4,-0.018528368363905034,Class 0,contrast,test,dist,3,angl,4
contrast_test_dist_5_angl_1,0.05449044692486771,Class 0,contrast,test,dist,5,angl,1
contrast_test_dist_5_angl_2,0.10358387368436817,Class 0,contrast,test,dist,5,angl,2
contrast_test_dist_5_angl_3,0.04360327170460199,Class 0,contrast,test,dist,5,angl,3
contrast_test_dist_5_angl_4,-0.17914036025770397,Class 0,contrast,test,dist,5,angl,4
contrast_test_dist_2_angl_1,0.5594384499373186,Class 0,contrast,test,dist,2,angl,1
contrast_test_dist_2_angl_2,-0.06341557127519515,Class 0,contrast,test,dist,2,angl,2
contrast_test_dist_2_angl_3,-0.05063972928949845,Class 0,contrast,test,dist,2,angl,3
contrast_test_dist_2_angl_4,-0.06641248442113756,Class 0,contrast,test,dist,2,angl,4
contrast_test_dist_8_angl_1,-0.333355389820162,Class 0,contrast,test,dist,8,angl,1
contrast_test_dist_8_angl_2,-0.014940265462688451,Class 0,contrast,test,dist,8,angl,2
contrast_test_dist_8_angl_3,0.05578466261734061,Class 0,contrast,test,dist,8,angl,3
contrast_test_dist_8_angl_4,0.10566726033689444,Class 0,contrast,test,dist,8,angl,4
contrast_test_dist_4_angl_1,0.02846400744562505,Class 0,contrast,test,dist,4,angl,1
contrast_test_dist_4_angl_2,-0.20822766617766053,Class 0,contrast,test,dist,4,angl,2
contrast_test_dist_4_angl_3,0.009891925783600097,Class 0,contrast,test,dist,4,angl,3
contrast_test_dist_4_angl_4,-0.41743898866010953,Class 0,contrast,test,dist,4,angl,4
contrast_test_dist_1_angl_1,0.18506074904964986,Class 0,contrast,test,dist,1,angl,1
contrast_test_dist_1_angl_2,-0.22029154124545602,Class 0,contrast,test,dist,1,angl,2
contrast_test_dist_1_angl_3,0.4551722260705269,Class 0,contrast,test,dist,1,angl,3
contrast_test_dist_1_angl_4,-0.4056795601044296,Class 0,contrast,test,dist,1,angl,4
contrast_test_dist_6_angl_1,-0.1444415510870405,Class 0,contrast,test,dist,6,angl,1
contrast_test_dist_6_angl_2,-0.14046158296400502,Class 0,contrast,test,dist,6,angl,2
